relativehumidity,dewpoint,temp,precipitation,cloudcover,et0,windspeed,winddirection,soil_temp,weather
33.83333333,5.641666667,19.95,0.0,23.91666667,0.3325,14.05833333,42.0,23.55833333,Sun
40.25,8.033333333,20.73333333,0.0,14.33333333,0.305833333,11.74166667,42.33333333,23.53333333,Sun
38.25,8.35,22.45,0.0,9.5,0.315833333,10.0,40.58333333,24.325,Sun
40.41666667,10.40833333,24.99166667,0.0,3.583333333,0.3025,6.025,89.91666667,25.375,Sun
39.66666667,10.675,25.625,0.0,0.583333333,0.318333333,7.45,33.91666667,26.0,Sun
38.75,11.14166667,27.475,0.0,14.66666667,0.283333333,3.141666667,141.3333333,26.49166667,Sun
38.08333333,11.80833333,28.26666667,0.0,3.0,0.3125,5.266666667,202.6666667,27.13333333,Sun
43.33333333,13.775,28.83333333,0.0,0.25,0.315,5.966666667,190.4166667,27.80833333,Sun
43.25,14.31666667,29.58333333,0.0,28.33333333,0.3,4.591666667,129.6666667,28.29166667,Sun
42.0,13.44166667,28.59166667,0.0,8.0,0.31,6.441666667,58.58333333,28.51666667,Sun
43.66666667,14.86666667,30.23333333,0.0,3.083333333,0.304166667,4.633333333,207.3333333,29.21666667,Sun
42.5,15.125,30.975,0.0,0.333333333,0.31,5.058333333,214.5833333,29.60833333,Sun
43.33333333,15.43333333,30.94166667,0.0,0.333333333,0.32,6.033333333,206.5,29.65833333,Sun
30.66666667,9.325,28.025,0.0,0.166666667,0.3525,7.941666667,240.6666667,28.99166667,Sun
27.41666667,5.933333333,25.775,0.0,0.0,0.33,5.65,207.75,27.65,Sun
44.75,13.91666667,27.875,0.0,30.08333333,0.331666667,8.85,190.0833333,27.9,Sun
42.08333333,12.84166667,27.81666667,0.0,4.833333333,0.336666667,7.758333333,184.9166667,28.06666667,Sun
43.25,13.54166667,28.28333333,0.0,15.91666667,0.338333333,8.141666667,188.9166667,28.475,Sun
44.5,15.14166667,30.05,0.0,14.08333333,0.324166667,6.5,201.75,28.96666667,Sun
46.16666667,16.05,30.825,0.0,34.33333333,0.308333333,6.191666667,206.9166667,29.25833333,Sun
48.0,16.61666667,31.08333333,0.0,11.41666667,0.284166667,4.1,223.6666667,29.26666667,Sun
41.91666667,14.55833333,29.15,0.0,34.75,0.335833333,10.65,68.0,29.26666667,Sun
41.0,12.49166667,27.00833333,0.0,5.333333333,0.34,9.308333333,62.08333333,28.825,Sun
39.58333333,11.525,26.525,0.0,0.25,0.338333333,7.816666667,44.58333333,28.35,Sun
34.5,9.658333333,26.35833333,0.0,2.25,0.35,7.933333333,42.33333333,28.25833333,Sun
35.91666667,10.4,27.0,0.0,0.0,0.343333333,6.6,38.5,28.64166667,Sun
37.08333333,11.53333333,28.45833333,0.0,1.25,0.325,4.141666667,226.3333333,28.81666667,Sun
39.66666667,13.33333333,29.925,0.0,0.25,0.328333333,4.016666667,211.5,29.51666667,Sun
41.58333333,14.5,30.20833333,0.0,3.166666667,0.3325,6.683333333,199.5833333,30.00833333,Sun
47.58333333,16.74166667,31.05,0.0,4.916666667,0.3075,6.641666667,195.5833333,30.39166667,Sun
46.5,16.8,31.08333333,0.0,14.58333333,0.325833333,9.65,186.8333333,30.55833333,Sun
46.66666667,17.24166667,32.225,0.0,5.25,0.333333333,7.891666667,194.8333333,31.05833333,Sun
50.25,18.05,32.025,0.0,16.5,0.294166667,6.275,179.75,31.025,Sun
60.41666667,20.14166667,31.61666667,0.025,39.16666667,0.264166667,8.2,179.5,30.33333333,Sun
51.83333333,18.5,31.76666667,0.008333333,19.5,0.31,9.55,194.4166667,30.83333333,Sun
47.41666667,17.95833333,33.3,0.0,27.91666667,0.356666667,8.391666667,195.0833333,32.08333333,Sun
54.58333333,19.475,32.46666667,0.016666667,36.33333333,0.278333333,6.991666667,177.6666667,30.975,Sun
51.33333333,18.83333333,32.84166667,0.0,27.5,0.281666667,5.658333333,186.1666667,31.51666667,Sun
55.58333333,19.725,32.8,0.016666667,65.58333333,0.29,6.925,171.5833333,31.60833333,Sun
46.91666667,17.45,31.975,0.025,23.16666667,0.320833333,8.383333333,184.75,31.7,Sun
40.66666667,15.99166667,33.04166667,0.0,19.41666667,0.3425,5.525,218.5,32.375,Sun
44.41666667,17.575,33.74166667,0.0,16.08333333,0.316666667,5.658333333,220.0833333,32.73333333,Sun
46.16666667,18.54166667,34.4,0.0,15.91666667,0.345,7.45,191.3333333,33.05833333,Sun
46.33333333,18.70833333,34.61666667,0.0,28.0,0.305833333,6.183333333,186.5833333,33.00833333,Sun
41.25,17.175,34.03333333,0.0,18.08333333,0.31,6.458333333,181.0833333,32.96666667,Sun
42.08333333,17.38333333,34.49166667,0.008333333,17.33333333,0.273333333,3.058333333,158.3333333,33.00833333,Sun
32.25,12.74166667,32.625,0.0,8.083333333,0.370833333,5.225,129.0,33.43333333,Sun
38.41666667,14.79166667,32.43333333,0.0,16.58333333,0.3275,4.766666667,203.75,32.725,Sun
42.75,16.375,31.75,0.0,25.41666667,0.3,8.008333333,192.5,31.8,Sun
40.16666667,15.75833333,31.875,0.0,23.83333333,0.3275,9.083333333,191.5833333,32.09166667,Sun
45.75,17.31666667,32.59166667,0.0,36.58333333,0.2975,5.733333333,184.0833333,32.0,Sun
51.33333333,18.23333333,31.90833333,0.0,33.75,0.308333333,8.575,154.75,31.7,Rain
40.0,15.01666667,31.4,0.0,54.66666667,0.296666667,5.675,163.6666667,30.95,Sun
46.75,16.45,31.425,0.0,19.91666667,0.310833333,5.8,202.8333333,31.48333333,Sun
48.33333333,17.78333333,32.81666667,0.008333333,14.75,0.290833333,3.433333333,238.4166667,31.99166667,Sun
43.25,16.88333333,33.16666667,0.0,50.41666667,0.321666667,5.6,256.0,32.59166667,Sun
57.41666667,19.825,32.175,0.0,40.91666667,0.271666667,7.725,207.0833333,31.29166667,Sun
